ProductCode,ProductName,MODEL,SKU_TYPE,CATEGORY,SUB_CATEGORY,SIZE_GROUP
S6971926015253,สินค้าตัวโชว์ HAIER Smart TV Android ขนาด 50 นิ้ว H50K6UG สีดำ,H50K6UG,DEMO,TV,UHD,43-50"
6971926018957,HAIER Smart TV Android 4K UHD ขนาด 55 นิ้ว รุ่น H55K66UG สีดำ,H55K66UG,SELLABLE,TV,UHD,55-58"
S6971926018957,สินค้าตัวโชว์ HAIER Smart TV Android 4K UHD ขนาด 55 นิ้ว รุ่น H55K66UG สีดำ,H55K66UG,DEMO,TV,UHD,55-58"
6971926019992,HAIER โทรทัศน์  Smart TV 4K UHD รุ่น H55K6UG ขนาด 55  นิ้ว สีดำ,H55K6UG PLUS,SELLABLE,TV,UHD,55-58"
6971926018568,HAIER โทรทัศน์ Google HQLED 4K รุ่น H55K7UG สีดำ,H55K7UG,SELLABLE,TV,QLED,55-58"
S6971926018568,สินค้าตัวโชว์ HAIER โทรทัศน์ Google HQLED 4K รุ่น H55K7UG สีดำ,H55K7UG,DEMO,TV,QLED,55-58"
6976454831863,HAIER Smart TV ขนาด 55 นิ้ว รุ่น H55S80EUX สีดำ,H55S80EUX,SELLABLE,TV,QLED,55-58"
6971926019626,"HAIER โทรทัศน์ LED TV ขนาด 58 นิ้ว (4K, Android TV) รุ่น H58K66UG สีดำ",H58K66UG,SELLABLE,TV,UHD,55-58"
6971926011408,Haier โทรทัศน์  ANDROID 11  4K ขนาด 58 นิ้ว รุ่น H58K67UG สีดำ,H58K67UG,SELLABLE,TV,UHD,55-58"
S6971926011408,สินค้าตัวโชว์ Haier โทรทัศน์  ANDROID 11  4K ขนาด 58 นิ้ว รุ่น H58K67UG สีดำ,H58K67UG,DEMO,TV,UHD,55-58"
S6971926015277,สินค้าตัวโชว์ HAIER Smart TV Android ขนาด 58 นิ้ว H58K6UG สีดำ,H58K6UG,DEMO,TV,UHD,55-58"
6971926011736,HAIER Android Smart TV 4K UHD 58 นิ้ว รุ่น H58S51UG Android11  สีดำ,H58S51UG,SELLABLE,TV,UHD,55-58"
6971926018575,HAIER โทรทัศน์ Google HQLED 4K รุ่น H65K7UG สีดำ,H65K7UG,SELLABLE,TV,QLED,65-70"
S6971926018575,สินค้าตัวโชว์ HAIER โทรทัศน์ Google HQLED 4K รุ่น H65K7UG สีดำ,H65K7UG,DEMO,TV,QLED,65-70"
S6971926017042,สินค้าตัวโชว์ HAIER Smart TV Android 4K HQLED ขนาด 65 นิ้ว รุ่น H65S6UG PRO สีดำ,H65S6UG PRO,DEMO,TV,QLED,65-70"
6976454831870,HAIER Smart TV ขนาด 65 นิ้ว รุ่น H65S80EUX สีดำ,H65S80EUX,SELLABLE,TV,QLED,65-70"
6971926019657,HAIER Android Smart TV 4K UHD 70 นิ้ว  รุ่น H70D6UG  Android11 สีดำ,H70D6UG,SELLABLE,TV,UHD,65-70"
6971926012504,HAIER โทรทัศน์ Google TV HQLED 4K รุ่น  H75K7UG สีดำ,H75K7UG,SELLABLE,TV,QLED,75" ↑
S6971926012504,สินค้าตัวโชว์ HAIER โทรทัศน์ Google TV HQLED 4K รุ่น  H75K7UG สีดำ,H75K7UG,DEMO,TV,QLED,75" ↑
8855671022361,HAIER ตู้แช่ Chest Freezer 3.6 คิว HCF-HM100 สีขาว,HCF-100HM,SELLABLE,FZ,Chest,↓ 10Q
8855671026970,HAIER ตู้แช่ฝาทึบ 2 ระบบ ขนาด 3.5 คิว รุ่น HCF-100HM2 สีขาว,HCF-100HM2,SELLABLE,FZ,Chest,↓ 10Q
S8855671026970,สินค้าตัวโชว์ HAIER ตู้แช่ฝาทึบ 2 ระบบ ขนาด 3.5 คิว รุ่น HCF-100HM2 สีขาว,HCF-100HM2,DEMO,FZ,Chest,↓ 10Q
6930265302967,ตู้แช่ฝาทึบ 2 ระบบ รุ่น HCF-108C2 ขนาด 3.5 คิว สีขาว,HCF-108C2,SELLABLE,FZ,Chest,↓ 10Q
8855671022507,HAIER ตู้ระบบแช่แข็ง Chest Freezer 5.2 คิว HCF-HM145 สีขาว,HCF-145HM,SELLABLE,FZ,Chest,↓ 10Q
8855671026987,HAIER ตู้แช่ฝาทึบ 2 ระบบ ขนาด 5.1 คิว รุ่น HCF-145HM2 สีขาว,HCF-145HM2,SELLABLE,FZ,Chest,↓ 10Q
S8855671026987,สินค้าตัวโชว์ HAIER ตู้แช่ฝาทึบ 2 ระบบ ขนาด 5.1 คิว รุ่น HCF-145HM2 สีขาว,HCF-145HM2,DEMO,FZ,Chest,↓ 10Q
8855671026994,HAIER ตู้ฝาทึบ 2 ระบบ ขนาด 7.1 คิว รุ่น HCF-200HM2 สีขาว,HCF-200HM2,SELLABLE,FZ,Chest,↓ 10Q
S8855671026994,สินค้าตัวโชว์ HAIER ตู้ฝาทึบ 2 ระบบ ขนาด 7.1 คิว รุ่น HCF-200HM2 สีขาว,HCF-200HM2,DEMO,FZ,Chest,↓ 10Q
8855671027816,HAIER ตู้แช่ฝาทึบ 2 ระบบ ขนาด 5.0 คิว รุ่น HCF-208C2 สีขาว,HCF-208C2,SELLABLE,FZ,Chest,↓ 10Q
8855671027823,HAIER ตู้แช่ฝาทึบ 2 ระบบ ขนาด 7.0 คิว รุ่น HCF-228C2 สีขาว,HCF-228C2,SELLABLE,FZ,Chest,↓ 10Q
8855671024754,HAIER ตู้แช่แข็งฝาทึบ 2 ระบบ ขนาด 10.8Q รุ่น HCF-350DP สีขาว,HCF-350DP,SELLABLE,FZ,Chest,10-14.9Q
8855671027281,HAIER ตู้แช่ฝาทึบ 2 ระบบ HCF-428DP 13.4 คิว สีขาว,HCF-428DP,SELLABLE,FZ,Chest,10-14.9Q
8855671026536,HAIER ตู้แช่ฝาทึบ 2 ระบบ HCF-568DP 18.3 คิว สีขาว,HCF-568DP,SELLABLE,FZ,Chest,15-19.9Q
8855671023245,HAIER ตู้แช่เบียร์วุ้น 198 ลิตร ขนาด 7 คิว รุ่น HCF-SB228 สีขาว,HCF-SB228,SELLABLE,FZ,Chest,↓ 10Q
S8855671023245,สินค้าตัวโชว์ HAIER ตู้แช่เบียร์วุ้น 198 ลิตร ขนาด 7 คิว รุ่น HCF-SB228 สีขาว,HCF-SB228,DEMO,FZ,Chest,↓ 10Q
8855671026727,HAIER เครื่องอบผ้าฝาหน้า ขนาด 10 กก. รุ่น HD100-AR959S สีดำ,HD100-AR959S,SELLABLE,WM,Dryer,10-14KG
8855671016957,HAIER เครื่องอบผ้า ขนาด 7 KG. Model HDV70E1 สีขาว,HDV70E1,SELLABLE,WM,Dryer,↓ 10KG
8855671019866,HAIER ตู้เย็น 1 ประตู Mini-Bar 1.7 คิว HR-50 สีเทาอ่อน,HR-50,SELLABLE,RF,1Dr,↓ 10Q
8855671033718,HAIER ตู้เย็น 2 ประตู รุ่น HRF-185MN (Fixed Speed) ขนาด 6.6 คิว สีดำ,HRF-185MN,SELLABLE,RF,2Dr,↓ 10Q
8859474604687,HAIER ตู้เย็น 2 ประตู รุ่น HRF-215MN (Fixed Speed) ขนาด 7.6 คิว สีดำ,HRF-215MN SS,SELLABLE,RF,2Dr,↓ 10Q
8859474604694,HAIER ตู้เย็น 2 ประตู รุ่น HRF-245MN (Fixed Speed) ขนาด 8.3 คิว สีดำ,HRF-245MN SS,SELLABLE,RF,2Dr,↓ 10Q
8855671018173,HAIER ตู้เย็น 2 ประตู Navi Colling 9.6 คิว HRF-260 MNIDL สี New Silver,HRF-260MNIDL SV,SELLABLE,RF,2Dr,↓ 10Q
8855671029100,HAIER ตู้เย็น 2 ประตู ขนาด 10 คิว รุ่น HRF-285MNI สีเทา,HRF-285MNI,SELLABLE,RF,2Dr,10-14Q
8859474603208,HAIER ตู้เย็น 2 ประตู Inverter ขนาด 11.8 คิว รุ่น HRF-320MNI สีดำ,HRF-320MNI BK,SELLABLE,RF,2Dr,10-14Q
8859474603215,HAIER ตู้เย็น 2 ประตู 12.6 คิว  HRF-350MNI สีดำ,HRF-350MNI BK,SELLABLE,RF,2Dr,10-14Q
8855671028820,HAIER ตู้เย็น MULTI DOOR รุ่น HRF-MD320 STL ขนาด 10.6 คิว สีเงินสเตนเลส,HRF-MD320 STL,SELLABLE,RF,Multi Dr,10-14Q
S8855671028820,สินค้าตัวโชว์ HAIER ตู้เย็น MULTI DOOR รุ่น HRF-MD320 STL ขนาด 10.6 คิว สีเงินสเตนเลส,HRF-MD320 STL,DEMO,RF,Multi Dr,10-14Q
8855671023177,HAIER ตู้เย็น Multi Door 4 ประตู ขนาด 13.6 คิว รุ่น HRF-MD350（STL）สีเทาอ่อน,HRF-MD350 STL,SELLABLE,RF,Multi Dr,10-14Q
S8855671023177,สินค้าตัวโชว์ HAIER ตู้เย็นมัลติดอร์ HRF-MD350（STL）สีเทาอ่อน,HRF-MD350 STL,DEMO,RF,Multi Dr,10-14Q
8855671014946,HAIER ตู้เย็น 4 ประตู ขนาด 16 คิว HRF-MD456GB สีดำ,HRF-MD456 GB,SELLABLE,RF,Multi Dr,15-19Q
8859474603819,HAIER ตู้เย็น 4 ประตู ระบบ Inverter HRF-MD469GB ขนาด 16.1Q สีดำ,HRF-MD469G GB,SELLABLE,RF,Multi Dr,15-19Q
8859474603802,HAIER ตู้เย็น 4 ประตู ระบบ Inverter HRF-MD469M ขนาด 16.1Q สีดำ,HRF-MD469M MB,SELLABLE,RF,Multi Dr,15-19Q
S8859474603321,สินค้าตัวโชว์ HAIER ตู้เย็น 4 ประตู INVERTER รุ่น HRF-MDM448 ขนาด 16.1Q สีดำ,HRF-MDM448 KS,DEMO,RF,Multi Dr,15-19Q
6901018082399,HAIER ตู้เย็น SBS 17Q รุ่น HRF-SBS490 สีดำด้าน,HRF-SBS490 SV,SELLABLE,RF,SBS,15-19Q
8855671031493,HAIER ตู้เย็น SIDE BY SIDE อินเวอร์เตอร์ ขนาด 21.7Q รุ่น HRF-SBS636MS สีดำ,HRF-SBS636 MS,SELLABLE,RF,SBS,20Q ↑
8855671027267,HAIER ตู้เย็น 2 ประตู ขนาด 6.5 คิว รุ่น HRF-THM18NS สีเทา,HRF-THM18NS,SELLABLE,RF,2Dr,↓ 10Q
8855671032605,Haier ตู้เย็น 2 ประตู ระบบ Inverter HRF-THM209I 7.1 คิว สีเทาเข้ม,HRF-THM209I,SELLABLE,RF,2Dr,↓ 10Q
S8855671032605,สินค้าตัวโชว์ Haier ตู้เย็น 2 ประตู ระบบ Inverter HRF-THM209I 7.1 คิว สีเทาเข้ม,HRF-THM209I,DEMO,RF,2Dr,↓ 10Q
8855671019231,HAIER ตู้เย็น 2 ประตู 7.4 คิว HRF-THM20N สีซิลเวอร์,HRF-THM20NS,SELLABLE,RF,2Dr,↓ 10Q
8855671032599,Haier ตู้เย็น 2 ประตู ระบบ Inverter HRF-THM259I 8.9 คิว สีเทาเข้ม,HRF-THM259I,SELLABLE,RF,2Dr,↓ 10Q
S8855671032599,สินค้าตัวโชว์ Haier ตู้เย็น 2 ประตู ระบบ Inverter HRF-THM259I 8.9 คิว สีเทาเข้ม,HRF-THM259I,DEMO,RF,2Dr,↓ 10Q
8855671019248,HAIER ตู้เย็น 2 ประตู 9.4 คิว HRF-THM25N สีซิลเวอร์,HRF-THM25NS,SELLABLE,RF,2Dr,↓ 10Q
S8855671026734,สินค้าตัวโชว์ HAIER ตู้เย็น 2 ประตูไฮเออร์ 12.2 คิว HRF-THM35NS สีเงิน,HRF-THM35NS,DEMO,RF,2Dr,10-14Q
8855671022460,HAIER ตู้เย็น 2 ประตู ขนาด 15.4 คิว  HRF-THM42I สีเทา,HRF-THM42I,SELLABLE,RF,2Dr,10-14Q
8859474603697,HAIER ตู้เย็น 1 ประตู ขนาด 5.3Q รุ่น HR-SD159F BE สีดำ,HR-SD159F BE,SELLABLE,RF,1Dr,↓ 10Q
8859474603598,HAIER ตู้เย็น 1 ประตู ขนาด 5.3Q รุ่น HR-SD159F CS สีซิลเวอร์,HR-SD159F CS,SELLABLE,RF,1Dr,↓ 10Q
8859474603710,HAIER ตู้เย็น 1 ประตู ขนาด 6.6Q รุ่น HR-SD199F BE สีดำ,HR-SD199F BE,SELLABLE,RF,1Dr,↓ 10Q
8859474603604,HAIER ตู้เย็น 1 ประตู ขนาด 6.6Q รุ่น HR-SD199F CS สีซิลเวอร์,HR-SD199F CS,SELLABLE,RF,1Dr,↓ 10Q
8855671030342,HAIER ตู้เย็น 1 ประตู HR-SD55 1.4 คิว สีดำ,HR-SD55,SELLABLE,RF,1Dr,↓ 10Q
8855671031783,HAIER ตู้เย็น 1 ประตู HR-SD95 3.1 คิว สีดำ,HR-SD95,SELLABLE,RF,1Dr,↓ 10Q
S8855671027366,สินค้าตัวโชว์ HAIER เครื่องปรับอากาศ 9000 BTU รุ่น HSU-09CQRA03T สีขาว,HSU-09CQRA03T,MOCK_UP,AC,Fix Speed,10KBTU↓
8855671029421,Haier เครื่องปรับอากาศ 9000 BTU  HSU-09CQRB03T,HSU-09CQRB03T,SELLABLE,AC,Fix Speed,10KBTU↓
8855671029667,Haier  เครื่องปรับอากาศ inverter 9000 BTU  HSU-09VQRA03T,HSU-09VQRA03T,SELLABLE,AC,Inverter,10KBTU↓
8855671032339,Haier เครื่องปรับอากาศ Inverter 9200 BTU HSU-09VQRC03T,HSU-09VQRC03T,SELLABLE,AC,Inverter,10KBTU↓
8855671032438,Haier เครื่องปรับอากาศ Fix Speed 9200 BTU HSU-10CQRD03T,HSU-10CQRD03T,SELLABLE,AC,Fix Speed,10KBTU↓
8855671032315,Haier เครื่องปรับอากาศ Premium Inverter (UV Cool Smart) Smart Wifi Control 9200 BTU HSU-10VRRA03T,HSU-10VRRA03T,SELLABLE,AC,Inverter,10KBTU↓
8855671031974,Haier เครื่องปรับอากาศ Premium Inverter (UV Cool Deluxe) Wifi Control & PM2.5 Filter 9000 BTU HSU-10VRWA03T,HSU-10VRWA03T,SELLABLE,AC,Inverter,10KBTU↓
S8855671027397,สินค้าตัวโชว์ HAIER เครื่องปรับอากาศ 12000 BTU รุ่น HSU-12CQRA03T สีขาว,HSU-12CQRA03T,MOCK_UP,AC,Fix Speed,12-13KBTU
8855671029445,Haier เครื่องปรับอากาศ 12000 BTU  HSU-12CQRB03T สีขาว,HSU-12CQRB03T,SELLABLE,AC,Fix Speed,12-13KBTU
8855671017114,HAIER เครื่องปรับอากาศ Fix speed 12000 BTU HSU-12CTB03T สีขาว,HSU-12CTB03T,SELLABLE,AC,Fix Speed,12-13KBTU
8855671029681,Haier เครื่องปรับอากาศ inverter 12000 BTU HSU-12VQRA03T สีขาว,HSU-12VQRA03T,SELLABLE,AC,Inverter,12-13KBTU
8855671032490,Haier เครื่องปรับอากาศ Inverter 12000 BTU HSU-12VQRC03T,HSU-12VQRC03T,SELLABLE,AC,Inverter,12-13KBTU
S8855671025492,สินค้าตัวโชว์ HAIER เครื่องปรับอากาศ Inverter ขนาด 11400 BTU HSU-12VTRA03T สีขาว,HSU-12VTRA03T,MOCK_UP,AC,Inverter,12-13KBTU
8855671031936,Haier เครื่องปรับอากาศ Fix Speed 12000 BTU HSU-13CQRD03T,HSU-13CQRD03T,SELLABLE,AC,Fix Speed,12-13KBTU
8855671032476,"Haier เครื่องปรับอากาศ Premium Inverter (UV Cool Smart) Smart Wifi Control 12,300 BTU HSU-13VRRA03T",HSU-13VRRA03T,SELLABLE,AC,Inverter,12-13KBTU
8855671031998,"Haier เครื่องปรับอากาศ Premium Inverter (UV Cool Deluxe) Wifi Control & PM2.5 Filter 12,000 BTU HSU-13VRWA03T",HSU-13VRWA03T,SELLABLE,AC,Inverter,12-13KBTU
8855671032889,"Haier เครื่องปรับอากาศ Hi-End Inverter (UV Cool Premium) PM2.5 Filter, Wifi Control, Human Sensor 13,300 BTU HSU-13VSWA03T",HSU-13VSWA03T,SELLABLE,AC,Inverter,12-13KBTU
8855671032094,Haier เครื่องปรับอากาศ Inverter 15000 BTU HSU-15VQRC03T,HSU-15VQRC03T,SELLABLE,AC,Inverter,15KBTU
8855671029469,Haier  เครื่องปรับอากาศ 18000 BTU  HSU-18CQRB03T สีขาว,HSU-18CQRB03T,SELLABLE,AC,Fix Speed,18KBTU
S8855671029469,สินค้าตัวโชว์ Haier  เครื่องปรับอากาศ 18000 BTU  HSU-18CQRB03T สีขาว,HSU-18CQRB03T,MOCK_UP,AC,Fix Speed,18KBTU
8855671032452,Haier เครื่องปรับอากาศ Fix Speed 17000 BTU HSU-18CQRD03T,HSU-18CQRD03T,SELLABLE,AC,Fix Speed,18KBTU
S8855671027625,สินค้าตัวโชว์ HAIER เครื่องปรับอากาศติดผนัง พรีเมียม Inverter ขนาด 18500 BTU รุ่น HSU-18VFRA03T สีขาว,HSU-18VFRA03T,MOCK_UP,AC,Inverter,18KBTU
8855671029728,Haier เครื่องปรับอากาศ  inverter 18000 BTUHSU-18VQRA03T สีขาว,HSU-18VQRA03T,SELLABLE,AC,Inverter,18KBTU
8855671032117,Haier เครื่องปรับอากาศ Inverter 18000 BTU HSU-18VQRC03T,HSU-18VQRC03T,SELLABLE,AC,Inverter,18KBTU
8855671032216,"Haier เครื่องปรับอากาศ Premium Inverter (UV Cool Smart) Smart Wifi Control 18,000 BTU HSU-18VRRA03T",HSU-18VRRA03T,SELLABLE,AC,Inverter,18KBTU
8855671032018,"Haier เครื่องปรับอากาศ Premium Inverter (UV Cool Deluxe) Wifi Control & PM2.5 Filter 18,000 BTU HSU-18VRWA03T",HSU-18VRWA03T,SELLABLE,AC,Inverter,18KBTU
8855671032902,"Haier เครื่องปรับอากาศ Hi-End Inverter (UV Cool Premium) PM2.5 Filter, Wifi Control, Human Sensor 18,000 BTU HSU-18VSWA03T",HSU-18VSWA03T,SELLABLE,AC,Inverter,18KBTU
8855671029742,"Haier เครื่องปรับอากาศ inverter 23,200 BTU HSU-24VQRA03T สีขาว",HSU-24VQRA03T,SELLABLE,AC,Inverter,24KBTU↑
8855671032131,Haier เครื่องปรับอากาศ Inverter 18000 BTU HSU-18VQRC03T,HSU-24VQRC03T,SELLABLE,AC,Inverter,24KBTU↑
8855671032230,"Haier เครื่องปรับอากาศ Premium Inverter (UV Cool Smart) Smart Wifi Control 23,200 BTU HSU-24VRRA03T",HSU-24VRRA03T,SELLABLE,AC,Inverter,24KBTU↑
8855671032032,"Haier เครื่องปรับอากาศ Premium Inverter (UV Cool Deluxe) Wifi Control & PM2.5 Filter 24,000 BTU HSU-24VRWA03T",HSU-24VRWA03T,SELLABLE,AC,Inverter,24KBTU↑
8855671031776,HAIER เครื่องซักผ้า 2 ถัง 13 kg รุ่น HTW130-1217BS,HTW130-1217BS,SELLABLE,WM,Twin Tub,10-14KG
8855671031417,HAIER เครื่องซักผ้า 2 ถัง 9 kg รุ่น HTW150-1217BS,HTW150-1217BS,SELLABLE,WM,Twin Tub,15-19KG
8855671030366,HAIER เครื่องซักผ้า 2 ถัง 9 kg รุ่น HTW90-1217BS,HTW90-1217BS,SELLABLE,WM,Twin Tub,↓ 10KG
8855671025072,HAIER เครื่องซักผ้าฝาหน้า ขนาด 12kg  รุ่น HW120-BP14959S6  สี dark gray,HW120-BP14959S6,SELLABLE,WM,Front Load,10-14KG
8855671026697,HAIER เครื่องซักผ้าฝาหน้า รุ่น HW150-BP14986ES9 สีดำ,HW150-BP14986ES9,SELLABLE,WM,Front Load,15-19KG
8855671018050,HAIER เครื่องซักผ้าฝาหน้า 7 กก. HW70-BP10829 สีขาว,HW70-BP10829,SELLABLE,WM,Front Load,↓ 10KG
S8855671025041,สินค้าตัวโชว์ HAIER เครื่องซักผ้าฝาหน้า ขนาด 8kg HW80-BP12929 สีขาว,HW80-BP12929,DEMO,WM,Front Load,↓ 10KG
8855671028769,HAIER เครื่องซักผ้าฝาหน้า อินเวอร์เตอร์ 9.5 กก.  HW95-BP14929AS6  1400RPM  สีเทาเข้ม,HW95-BP14929AS6,SELLABLE,WM,Front Load,↓ 10KG
8855671025065,HAIER เครื่องซักผ้า/อบผ้า ฝาหน้า (10/6 Kg) รุ่น HWD100-BP14959S8,HWD100-BP14959S8,SELLABLE,WM,FL Wash&Dry,10-14KG
8855671016971,HAIER เครื่องซักผ้าฝาบน ขนาด 10 kg. HWM100-1826T สีขาว,HWM100-1826T,SELLABLE,WM,Top Load,10-14KG
S8855671016971,สินค้าตัวโชว์ HAIER เครื่องซักผ้า 1 ถัง ขนาด 10 kg. HWM100-1826T สีขาว,HWM100-1826T,DEMO,WM,Top Load,10-14KG
S8855671022408,สินค้าตัวโชว์ HAIER เครื่องซักผ้าฝาบน Top Load Fully Automatic HWM120-1701RS Self-Cleaning,HWM120-1701RS,DEMO,WM,Top Load,10-14KG
8855671018333,HAIER เครื่องซักผ้าฝาบน 12 kg. HWM120-1826T สีขาว,HWM120-1826T,SELLABLE,WM,Top Load,10-14KG
8855671029971,HAIER เครื่องซักผ้าฝาบน ขนาด 12 กิโล รุ่น HWM120-316S6 สีดำ,HWM120-316S6,SELLABLE,WM,Top Load,10-14KG
8855671028844,HAIER เครื่องซักผ้าฝาบน  ขนาด14 กก. รุ่น HWM140-1701RS Self-Cleaning สีดำ,HWM140-1701RS,SELLABLE,WM,Top Load,10-14KG
S8855671022392,สินค้าตัวโชว์ HAIER เครื่องซักผ้าฝาบน Top Load Fully Automatic HWM140-1701RS Self-Cleaning,HWM140-1701RS,DEMO,WM,Top Load,10-14KG
S8855671028844,สินค้าตัวโชว์ HAIER เครื่องซักผ้าฝาบน  ขนาด14 กก. รุ่น HWM140-1701RS Self-Cleaning สีดำ,HWM140-1701RS,DEMO,WM,Top Load,10-14KG
8855671028868,HAIER เครื่องซักผ้าฝาบน ขนาด 14 กก. รุ่น HWM140-1826T สีดำ,HWM140-1826T,SELLABLE,WM,Top Load,10-14KG
S8855671028868,สินค้าตัวโชว์ HAIER เครื่องซักผ้าฝาบน ขนาด 14 กก. รุ่น HWM140-1826T สีดำ,HWM140-1826T,DEMO,WM,Top Load,10-14KG
8855671029964,Haier เครื่องซักผ้าฝาบน ขนาด 15กก. รุ่น HWM150-316S6 สีดำ,HWM150-316S6,SELLABLE,WM,Top Load,15-19KG
8855671017459,Haier เครื่องซักผ้าอัตโนมัติ 16 KG.รุ่น  HWM160-1701D,HWM160-1701D,SELLABLE,WM,Top Load,15-19KG
S8855671017459,สินค้าตัวโชว์ Haier เครื่องซักผ้าอัตโนมัติ 16 KG.รุ่น  HWM160-1701D,HWM160-1701D,DEMO,WM,Top Load,15-19KG
8855671030205,HAIER เครื่องซักผ้าฝาบน ขนาด 16 kg. รุ่น HWM160-B278S6 สีดำ,HWM160-B278S6,SELLABLE,WM,Top Load,15-19KG
8855671030212,HAIER เครื่องซักผ้าฝาบน 18 กิโล รุ่น  HWM180-B278S6 สีดำ,HWM180-B278S6,SELLABLE,WM,Top Load,15-19KG
S8855671019347,สินค้าตัวโชว์ HAIER เครื่องซักผ้า 2 ถังกึ่งอัตโนมัติ 10 กก. HWM-T100 OXI สีขาว,HWM-T100 OXI,DEMO,WM,Twin Tub,10-14KG
S8855671028905,สินค้าตัวโชว์ HAIER เครื่องซักผ้า 2 ถัง กึ่งอัตโนมัติ 10 กก. รุ่น HWM-T100 OXI สีเทา,HWM-T100 OXI,DEMO,WM,Twin Tub,10-14KG
S8855671020732,สินค้าตัวโชว์ HAIER เครื่องซักผ้า 2 ถัง กึ่งอัตโนมัติ ขนาด 10.5 Kg HWM-T105N2 สีขาว,HWM-T105N2,DEMO,WM,Twin Tub,10-14KG
8855671020756,HAIER เครื่องซักผ้า 2 ถัง กึ่งอัตโนมัติ ขนาด 14 kg HWM-T140N2,HWM-T140N2,SELLABLE,WM,Twin Tub,10-14KG
S8855671020756,สินค้าตัวโชว์ HAIER เครื่องซักผ้า 2 ถัง กึ่งอัตโนมัติ ขนาด 14 kg HWM-T140N2 สีเทา,HWM-T140N2,DEMO,WM,Twin Tub,10-14KG
8855671011099,HAIER เครื่องซักผ้า 2 ถัง ขนาด 16 Kg. HWM-T160N,HWM-T160N,SELLABLE,WM,Twin Tub,15-19KG
